SIPP,PickupDateFrom,PickupLocationCode,Duration,CurrentSellPrice,Netrate
CGAR,4/09/2023,Porto Airport,24,31.57,26.3
CGAR,5/09/2023,Porto Airport,10,33.2,17
MDMR,5/09/2023,Porto Airport,22,15.5,9
CGAR,3/09/2023,Porto Airport,12,44.89,17
CGAR,3/09/2023,Porto Airport,29,39.08,26.8
MDMR,3/09/2023,Porto Airport,20,14.69,8.6
MDMR,3/09/2023,Porto Airport,15,14.69,8.6
MDMR,4/09/2023,Porto Airport,5,18.86,7.3
MDMR,3/09/2023,Porto Airport,22,14.69,9
MDMR,9/09/2023,Porto Airport,19,14.61,8.6
SFMR,4/09/2023,Porto Airport,14,21.25,16.6
MDMR,9/09/2023,Porto Airport,14,14.61,6.8
MDMR,9/09/2023,Porto Airport,6,18.86,7.3
MDMR,9/09/2023,Porto Airport,28,14.61,12.6
MDMR,3/09/2023,Porto Airport,3,17.28,8.1
MDMR,3/09/2023,Porto Airport,23,14.69,9
MDMR,3/09/2023,Porto Airport,13,14.33,6.8
MDMR,3/09/2023,Porto Airport,29,14.69,12.6
MDMR,3/09/2023,Porto Airport,17,14.69,8.6
MDMR,3/09/2023,Porto Airport,9,14.33,6.8
MDMR,3/09/2023,Porto Airport,21,14.69,9
MDMR,3/09/2023,Porto Airport,8,14.33,6.8
MDMR,3/09/2023,Porto Airport,11,14.33,6.8
MDMR,3/09/2023,Porto Airport,7,14.33,7.3
SFMR,4/09/2023,Porto Airport,20,21.25,19
SFMR,4/09/2023,Porto Airport,8,21.5,16.6
SFMR,4/09/2023,Porto Airport,12,21.5,16.6
SFMR,4/09/2023,Porto Airport,26,21.25,20.8
SFMR,4/09/2023,Porto Airport,5,26.35,16
SFMR,4/09/2023,Porto Airport,17,21.25,19
SFMR,4/09/2023,Porto Airport,9,21.5,16.6
SFMR,4/09/2023,Porto Airport,23,21.25,20.8
SFMR,4/09/2023,Porto Airport,18,21.25,19
MDMR,3/09/2023,Porto Airport,18,14.69,8.6
MDMR,3/09/2023,Porto Airport,30,14.69,12.6
MDMR,3/09/2023,Porto Airport,1,28.95,8.1
CWMR,6/09/2023,Porto Airport,24,22.32,22.3
CGMR,6/09/2023,Porto Airport,9,17.43,13.8
CGMR,6/09/2023,Porto Airport,10,17.43,13.8
