Location,From Day,To Day,Shop Day,Category,sipp code,Season ,Tether Off Shop Day,
Athens,15,21,14,Family (Fiat Tipo Automatic),cdar,High,115%,
Athens,22,29,14,Family (Fiat Tipo Automatic),cdar,High,115%,
Athens,30, max ,14,Family (Fiat Tipo Automatic),cdar,High,243%,
Athens,1,2,4,Family (Citroen C-elysee),idmr,High,167%,
Athens,3,3,4,Family (Citroen C-elysee),idmr,High,140%,
Athens,4,6,4,Family (Citroen C-elysee),idmr,High,100%,
Athens,7,7,7,Family (Citroen C-elysee),idmr,High,100%,
Athens,8,13,7,Family (Citroen C-elysee),idmr,High,102%,
Athens,14,14,14,Family (Citroen C-elysee),idmr,High,100%,
Athens,15,21,14,Family (Citroen C-elysee),idmr,High,115%,
Athens,22,29,14,Family (Citroen C-elysee),idmr,High,115%,
Athens,30, max ,14,Family (Citroen C-elysee),idmr,High,243%,
Athens,1,2,4,SUV (Suzuki Vitara),ifmr,High,138%,
Athens,3,3,4,SUV (Suzuki Vitara),ifmr,High,115%,
Athens,4,6,4,SUV (Suzuki Vitara),ifmr,High,100%,
Athens,7,7,7,SUV (Suzuki Vitara),ifmr,High,100%,
Athens,8,13,7,SUV (Suzuki Vitara),ifmr,High,100%,
Athens,14,14,14,SUV (Suzuki Vitara),ifmr,High,100%,
Athens,15,21,14,SUV (Suzuki Vitara),ifmr,High,115%,
Athens,22,29,14,SUV (Suzuki Vitara),ifmr,High,115%,
Athens,30, max ,14,SUV (Suzuki Vitara),ifmr,High,159%,
Athens,1,2,4,SUV (Suzuki Vitara Automatic),ifar,High,188%,
Athens,3,3,4,SUV (Suzuki Vitara Automatic),ifar,High,157%,
Athens,4,6,4,SUV (Suzuki Vitara Automatic),ifar,High,100%,
Athens,7,7,7,SUV (Suzuki Vitara Automatic),ifar,High,100%,
Athens,8,13,7,SUV (Suzuki Vitara Automatic),ifar,High,138%,
Athens,14,14,14,SUV (Suzuki Vitara Automatic),ifar,High,100%,
Athens,15,21,14,SUV (Suzuki Vitara Automatic),ifar,High,115%,
Athens,22,29,14,SUV (Suzuki Vitara Automatic),ifar,High,115%,
Athens,30, max ,14,SUV (Suzuki Vitara Automatic),ifar,High,316%,
Athens,1,2,4,Luxury (BMW 116),ddmr,High,167%,
Athens,3,3,4,Luxury (BMW 116),ddmr,High,140%,
Athens,4,6,4,Luxury (BMW 116),ddmr,High,100%,
Athens,7,7,7,Luxury (BMW 116),ddmr,High,100%,
Athens,8,13,7,Luxury (BMW 116),ddmr,High,102%,
Athens,14,14,14,Luxury (BMW 116),ddmr,High,100%,
Athens,15,21,14,Luxury (BMW 116),ddmr,High,115%,
Athens,22,29,14,Luxury (BMW 116),ddmr,High,115%,
Athens,30, max ,14,Luxury (BMW 116),ddmr,High,243%,
Athens,1,2,4,Luxury (BMW 216),jdmr,High,167%,
Athens,3,3,4,Luxury (BMW 216),jdmr,High,140%,
Athens,4,6,4,Luxury (BMW 216),jdmr,High,100%,
Athens,7,7,7,Luxury (BMW 216),jdmr,High,100%,
Athens,8,13,7,Luxury (BMW 216),jdmr,High,102%,
Athens,14,14,14,Luxury (BMW 216),jdmr,High,100%,
Athens,15,21,14,Luxury (BMW 216),jdmr,High,115%,
Athens,22,29,14,Luxury (BMW 216),jdmr,High,115%,
Athens,30, max ,14,Luxury (BMW 216),jdmr,High,243%,
Athens,1,2,4,Luxury (BMW 216 Automatic),jdar,High,167%,
Athens,3,3,4,Luxury (BMW 216 Automatic),jdar,High,140%,
Athens,4,6,4,Luxury (BMW 216 Automatic),jdar,High,100%,
Athens,7,7,7,Luxury (BMW 216 Automatic),jdar,High,100%,
Athens,8,13,7,Luxury (BMW 216 Automatic),jdar,High,102%,
Athens,14,14,14,Luxury (BMW 216 Automatic),jdar,High,100%,
Athens,15,21,14,Luxury (BMW 216 Automatic),jdar,High,115%,
Athens,22,29,14,Luxury (BMW 216 Automatic),jdar,High,115%,
Athens,30, max ,14,Luxury (BMW 216 Automatic),jdar,High,243%,
Athens,1,2,4,Luxury (BMW X1 Automatic),sfar,High,167%,
Athens,3,3,4,Luxury (BMW X1 Automatic),sfar,High,140%,
Athens,4,6,4,Luxury (BMW X1 Automatic),sfar,High,100%,
Athens,7,7,7,Luxury (BMW X1 Automatic),sfar,High,100%,
Athens,8,13,7,Luxury (BMW X1 Automatic),sfar,High,102%,
Athens,14,14,14,Luxury (BMW X1 Automatic),sfar,High,100%,
Athens,15,21,14,Luxury (BMW X1 Automatic),sfar,High,115%,
Athens,22,29,14,Luxury (BMW X1 Automatic),sfar,High,115%,
Athens,30, max ,14,Luxury (BMW X1 Automatic),sfar,High,243%,
Athens,1,2,4,Mini Van (Fiat Doblo),fvmr,High,131%,
Athens,3,3,4,Mini Van (Fiat Doblo),fvmr,High,109%,
Athens,4,6,4,Mini Van (Fiat Doblo),fvmr,High,100%,
Athens,7,7,7,Mini Van (Fiat Doblo),fvmr,High,100%,
Athens,8,13,7,Mini Van (Fiat Doblo),fvmr,High,103%,
Athens,14,14,14,Mini Van (Fiat Doblo),fvmr,High,100%,
Athens,15,21,14,Mini Van (Fiat Doblo),fvmr,High,115%,
Athens,22,29,14,Mini Van (Fiat Doblo),fvmr,High,115%,
Athens,30, max ,14,Mini Van (Fiat Doblo),fvmr,High,141%,
Athens,1,2,4,Mini Van (Opel Vivaro),lvmr,High,131%,
