,Day_1-1,Day_2-2,Day_3-3,Day_4-4,Day_5-5,Day_6-6,Day_7-7,Day_8-8,Day_9-9,Day_10-10,Day_11-11,Day_12-12,Day_13-13,Day_14-14,Day_15-15,Day_16-16,Day_17-17,Day_18-18,Day_19-19,Day_20-20,Day_21-21,Day_22-22,Day_23-23,Day_24-24,Day_25-25,Day_26-26,Day_27-27,Day_28-30,Day_pick_up_month
A-Mini Manual-MDMR (Citroen C1),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,August
B-Economy Manual-ECMR (Mazda2),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,August
C-Compact Manual-CDMR (Nissan Tiida),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,August
N-MINI+Automatic-MDAR (Chevrolet Spark),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,August
H-Economy Automatic-EDAR (Nissan Micra),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,August
F-Compact Automatic-CDAR (Nissan Tiida),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,August
A-Mini Manual-MDMR (Citroen C1),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,September
B-Economy Manual-ECMR (Mazda2),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,September
C-Compact Manual-CDMR (Nissan Tiida),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,September
N-MINI+Automatic-MDAR (Chevrolet Spark),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,September
H-Economy Automatic-EDAR (Nissan Micra),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,September
F-Compact Automatic-CDAR (Nissan Tiida),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,September
A-Mini Manual-MDMR (Citroen C1),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,October
B-Economy Manual-ECMR (Mazda2),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,October
C-Compact Manual-CDMR (Nissan Tiida),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,October
N-MINI+Automatic-MDAR (Chevrolet Spark),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,October
H-Economy Automatic-EDAR (Nissan Micra),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,October
F-Compact Automatic-CDAR (Nissan Tiida),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,October
A-Mini Manual-MDMR (Citroen C1),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,November
B-Economy Manual-ECMR (Mazda2),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,November
C-Compact Manual-CDMR (Nissan Tiida),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,November
N-MINI+Automatic-MDAR (Chevrolet Spark),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,November
H-Economy Automatic-EDAR (Nissan Micra),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,November
F-Compact Automatic-CDAR (Nissan Tiida),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,November
A-Mini Manual-MDMR (Citroen C1),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,December
B-Economy Manual-ECMR (Mazda2),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,December
C-Compact Manual-CDMR (Nissan Tiida),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,December
N-MINI+Automatic-MDAR (Chevrolet Spark),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,December
H-Economy Automatic-EDAR (Nissan Micra),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,December
F-Compact Automatic-CDAR (Nissan Tiida),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,December
