car_class,price_change,from_day,to_day,pick_up_month
F-Compact Automatic-CDAR (Nissan Tiida),0,3,3,February
A-Mini Manual-MDMR (Citroen C1),0,3,3,March
B-Economy Manual-ECMR (Mazda2),0,3,3,March
C-Compact Manual-CDMR (Nissan Tiida),0,3,3,March
N-MINI+Automatic-MDAR (Chevrolet Spark),0,3,3,March
H-Economy Automatic-EDAR (Nissan Micra),0,3,3,March
F-Compact Automatic-CDAR (Nissan Tiida),0,3,3,March
A-Mini Manual-MDMR (Citroen C1),0,3,3,April
B-Economy Manual-ECMR (Mazda2),0,3,3,April
C-Compact Manual-CDMR (Nissan Tiida),0,3,3,April
N-MINI+Automatic-MDAR (Chevrolet Spark),0,3,3,April
H-Economy Automatic-EDAR (Nissan Micra),0,3,3,April
F-Compact Automatic-CDAR (Nissan Tiida),0,3,3,April
A-Mini Manual-MDMR (Citroen C1),0,3,3,May
B-Economy Manual-ECMR (Mazda2),0,3,3,May
C-Compact Manual-CDMR (Nissan Tiida),0,3,3,May
N-MINI+Automatic-MDAR (Chevrolet Spark),0,3,3,May
H-Economy Automatic-EDAR (Nissan Micra),0,3,3,May
F-Compact Automatic-CDAR (Nissan Tiida),0,3,3,May
A-Mini Manual-MDMR (Citroen C1),0,3,3,June
B-Economy Manual-ECMR (Mazda2),0,3,3,June
C-Compact Manual-CDMR (Nissan Tiida),0,3,3,June
N-MINI+Automatic-MDAR (Chevrolet Spark),0,3,3,June
H-Economy Automatic-EDAR (Nissan Micra),0,3,3,June
F-Compact Automatic-CDAR (Nissan Tiida),0,3,3,June
A-Mini Manual-MDMR (Citroen C1),0,3,3,July
B-Economy Manual-ECMR (Mazda2),0,3,3,July
C-Compact Manual-CDMR (Nissan Tiida),0,3,3,July
N-MINI+Automatic-MDAR (Chevrolet Spark),0,3,3,July
H-Economy Automatic-EDAR (Nissan Micra),0,3,3,July
F-Compact Automatic-CDAR (Nissan Tiida),0,3,3,July
A-Mini Manual-MDMR (Citroen C1),0,3,3,August
B-Economy Manual-ECMR (Mazda2),0,3,3,August
C-Compact Manual-CDMR (Nissan Tiida),0,3,3,August
N-MINI+Automatic-MDAR (Chevrolet Spark),0,3,3,August
H-Economy Automatic-EDAR (Nissan Micra),0,3,3,August
F-Compact Automatic-CDAR (Nissan Tiida),0,3,3,August
A-Mini Manual-MDMR (Citroen C1),0,3,3,September
B-Economy Manual-ECMR (Mazda2),0,3,3,September
C-Compact Manual-CDMR (Nissan Tiida),0,3,3,September
N-MINI+Automatic-MDAR (Chevrolet Spark),0,3,3,September
H-Economy Automatic-EDAR (Nissan Micra),0,3,3,September
F-Compact Automatic-CDAR (Nissan Tiida),0,3,3,September
A-Mini Manual-MDMR (Citroen C1),0,3,3,October
B-Economy Manual-ECMR (Mazda2),0,3,3,October
C-Compact Manual-CDMR (Nissan Tiida),0,3,3,October
N-MINI+Automatic-MDAR (Chevrolet Spark),0,3,3,October
H-Economy Automatic-EDAR (Nissan Micra),0,3,3,October
F-Compact Automatic-CDAR (Nissan Tiida),0,3,3,October
A-Mini Manual-MDMR (Citroen C1),0,3,3,November
B-Economy Manual-ECMR (Mazda2),0,3,3,November
C-Compact Manual-CDMR (Nissan Tiida),0,3,3,November
N-MINI+Automatic-MDAR (Chevrolet Spark),0,3,3,November
H-Economy Automatic-EDAR (Nissan Micra),0,3,3,November
F-Compact Automatic-CDAR (Nissan Tiida),0,3,3,November
A-Mini Manual-MDMR (Citroen C1),0,3,3,December
B-Economy Manual-ECMR (Mazda2),0,3,3,December
C-Compact Manual-CDMR (Nissan Tiida),0,3,3,December
N-MINI+Automatic-MDAR (Chevrolet Spark),0,3,3,December
H-Economy Automatic-EDAR (Nissan Micra),0,3,3,December
F-Compact Automatic-CDAR (Nissan Tiida),0,3,3,December
A-Mini Manual-MDMR (Citroen C1),-10,4,4,January
B-Economy Manual-ECMR (Mazda2),-10,4,4,January
C-Compact Manual-CDMR (Nissan Tiida),-10,4,4,January
N-MINI+Automatic-MDAR (Chevrolet Spark),-10,4,4,January
H-Economy Automatic-EDAR (Nissan Micra),-10,4,4,January
F-Compact Automatic-CDAR (Nissan Tiida),-10,4,4,January
